"","direction","MS","RA","SLE","UC","CD","psoriasis"
"PSMB10","DOWN",0.00150018490367463,0,0.0318947414592898,0.00221747912810821,0.00147831941873881,0
"SAC3D1","DOWN",0,0,0,0,0,0
"CHCHD5","DOWN",0,0,0,0,0,0
"PPP1R14B","DOWN",0,0,0.0234365329100947,0,0.0361122648879926,0
"MMS22L","UP",0,0,0,0,0,0
"UQCC3","DOWN",0,0,0,0,0.00820629891673063,0
"ZNHIT1","DOWN",0,0,0,0,0,0
"TSR3","DOWN",0,0,0,0,0,0
"TRIO","UP",0,0,0,0,0,0
"AP2S1","DOWN",0.460411172820387,0,0,0,0,0
"MPG","DOWN",0.00147831941873881,0,0.0384510880813964,0.00367526633269787,0,0
"NENF","DOWN",0,0,0,0,0,0
"RPL13A","DOWN",0,0,0.0474910113269842,0.00221747912810821,0,0
"UBXN1","DOWN",0.00272312719109514,0,0,0,0,0
"PF4","DOWN",0.00930258360410429,0.0791061188368118,0,0.0925152865550132,0.0237825810642073,0.0791061188368118
"AGPAT2","DOWN",0.00158339945089424,0.00183091404083221,0,0,0.00856894692897974,0.00183091404083221
"MGMT","DOWN",0.00524598071510785,0,0,0.0213461111180224,0.304668439295617,0
"FKBP2","DOWN",0,0,0,0.0054636000865134,0,0
"NAA38","DOWN",0.00214585080526361,0,0,0,0,0
"BORCS6","DOWN",0,0,0,0,0,0
"PSMB3","DOWN",0,0,0,0,0,0
"TUBB","UP",0.255596983501308,0.0739159709369404,0.0739159709369404,0.0184789927342351,0,0.0739159709369404
"MT1X","DOWN",0.00552316560612138,0.0100069481721162,0,0.0247513554042205,0.00606094173329112,0.0100069481721162
"LMBRD2","UP",0,0,0,0,0,0
"RPLP1","DOWN",0.00923949636711754,0.475413139639719,0.301415447314063,0,0,0.475413139639719
"NSMCE1","DOWN",0,0.0258544952711389,0,0,0,0.0258544952711389
"MTURN","DOWN",0,0,0,0,0.00286233345332958,0
"C1orf122","DOWN",0.00198632249298326,0.112927018456571,0.040492008702549,0,0,0.112927018456571
"PPP1R10","UP",0.461974818355877,0,0,0,0,0
"REX1BD","DOWN",0,0,0,0,0,0
"NUDT18","DOWN",0,0,0,0,0,0
"NDUFA13","DOWN",0.114833631862563,0.245112590530913,0,0.0739159709369404,0.00295663883747761,0.245112590530913
"DGKH","UP",0.0014059559302436,0,0,0.00739159709369404,0,0
"MYL6","DOWN",0.00316213796569293,0,0,0.00369579854684702,0,0
"MLH3","DOWN",0,0,0,0,0,0
"NT5M","DOWN",0.00185990137480533,0,0,0,0.00139208325383731,0
"TMTC1","UP",0,0,0,0.0105267639627465,0.00244475272711453,0
"RALGPS1","UP",0,0,0,0.0190744269445604,0,0
"RPS2P5","DOWN",0,0,0,0,0,0
"CEP20","DOWN",0,0,0,0,0,0
"TCERG1","UP",0,0,0,0,0,0
"EVI5","UP",0.457096266593051,0.0103482359311717,0,0,0.00147831941873881,0.0103482359311717
"CTU1","DOWN",0,0,0,0,0,0
"CMTM5","DOWN",0.0115209011003302,0,0,0.00243360636061552,0,0
"GPX4","DOWN",0.0124527878814595,0.0448932363622891,0.00147831941873881,0.0548834931544288,0.111246756017899,0.0448932363622891
"TEDC1","DOWN",0.0192344491724415,0,0,0.178797173373601,0,0
"EHMT2","UP",0.00369579854684702,0,0,0,0,0
"RNF144B","UP",0,0,0,0.00298759676541249,0.00144175704783306,0
"ECI1","DOWN",0,0,0,0,0,0
"RPLP2","DOWN",0,0,0,0.00221747912810821,0,0
"TARP","UP",0.00184789927342351,0.00367526633269787,0,0.00351100861950467,0.00147831941873881,0.00367526633269787
"BAD","DOWN",0.00643075415755115,0,0,0.0259118595783689,0.00517411796558583,0
"WDFY3","UP",0,0,0,0.00421524081607489,0,0
"GADD45GIP1","DOWN",0.00137151351514252,0.0118265553499105,0,0,0,0.0118265553499105
"FKBP8","DOWN",0,0,0,0.00147831941873881,0.00739159709369404,0
"SERP1","DOWN",0,0,0,0,0,0
"UTP20","UP",0,0,0,0,0,0
"TMEM219","DOWN",0,0,0,0,0.0103482359311717,0
"TOGARAM1","UP",0,0,0,0,0,0
"H3C10","DOWN",0.00981439836329375,0.0124629906782333,0,0.0080615632413808,0,0.0124629906782333
"C7orf50","DOWN",0,0,0,0,0,0
