symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
GAPLINC	0.002263635565013598	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01861754309788834	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENPP5	0.002262278792131966	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018606384156056782	No data	No data	0	0	0	0	0	0.08804999999999978	No data	0.5937695353198582	-0.011491042657841566	0	No data	No data	0	1	0
CASD1	0.002261845378575234	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01860281949410484	No data	No data	0	0	0	0	0	0.7427849999999999	No data	-0.5802250468847676	No data	0	No data	No data	No data	-1	-1
NSUN7	0.0022616282362859074	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018601033581216567	No data	No data	0	0	0	0	0	0	No data	-0.14805167743279846	0	0	No data	No data	No data	0.5	0
ENSG00000237011	0.002261143539048413	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018597047130460998	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
RGS16	0.0022593801054608077	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018582543558717857	No data	No data	0	0	0	1	0	0.2326749999999997	No data	0.6844134194623881	-0.05993566918522014	0	No data	No data	0	0.5	-1
ENSG00000251127	0.002259138561744525	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018580556953357252	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SC5D	0.00225797493303549	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018570986549015123	No data	No data	1	0	0	0	0	0.18059999999999973	No data	0.07011877474473849	-0.8706310009150808	0	No data	No data	0	0.5	-1
KLHL29	0.0022579723965005924	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018570965686978625	No data	No data	0	0	0	0	0	0.8514299999999999	No data	-0.7546363825797041	-0.7915349155824819	0	No data	No data	0	-1	0
SLC12A8	0.0022569029180143094	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018562169632473043	No data	No data	0	0	0	0	0	0.005599999999999739	No data	0.3740362575536571	No data	0	-1	No data	0	0.5	0
PFKP	0.002254772400614137	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01854464693574059	No data	No data	0	0	0	1	0	0.42601999999999973	No data	0.2961033548655969	No data	0	No data	No data	-0.2697700000000001	0.5	-1
CD5L	0.0022543696636341966	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018541334576985927	No data	No data	0	1	0	0	0	0	No data	0.7286934778078766	-0.151259323790561	0	No data	No data	0	1	0.5
CER1	0.002254045463040687	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018538668150192093	No data	No data	0	1	0	0	0	0	No data	0.8249635340695978	-0.7538682131317561	0	No data	No data	0	0.5	1
